food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B2,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Iron,Nutrition Density,
gelatin powder,17,0.086,0.09,0.054,0.063,0,0,4.3,0,0,0.029,0.7,0,0.033,0.028,0,0,0,0,2.8,0.099,7.255,85
tapioca pearls,544,0.093,0.075,0.088,0.057,134.8,5.1,0.3,1.4,0,0.077,16.7,0,0.016,0,0,0,0,0,30.4,2.4,169.318,86
baking powder,2,0,0,0,0,1.3,0,0,0.03,0,0.5,0.2,0,0,0,0,0,0,0,270.3,0.5,272.196,87
egg boiled,93,6.4,2,2.4,0.8,0.7,0.7,7.5,0,223.8,0.042,44.8,0.04,0.069,0.3,0,0.019,0.6,0.069,30,0.7,45.338,88
millet flour,444,5.1,0.6,1.1,3.1,86.9,2,12.8,4.2,0,0.056,12.8,0,0.5,0.01,0,0,0.1,0.037,16.7,4.7,130.4,89
triticale flour,439,2.4,0.4,0.2,1,95.1,0,17.1,19,0,0.096,13,0,0.5,0.2,0,0,1.2,0,45.5,3.4,182.5,90
corn flour white,414,4.2,0.6,1.1,2,87.3,1.8,9.6,7.3,0,0.036,11.2,0,0.3,0.1,0,0,0.1,0,157.3,1.7,267.4,91
rice flour brown,574,4.4,0.9,1.6,1.6,120.8,1.3,11.4,7.3,0,0.039,18.9,0,0.7,0.1,0,0,1.9,0,17.4,3.1,164.4,92
sorghum flour,437,4,0.6,1.1,1.7,93.7,2.3,9.5,8,0,0.023,12.2,0,0.3,0.014,0,0,0.6,0.079,14.5,3.6,133.3,93
cornmeal whole grain,442,4.4,0.6,1.2,2,93.8,0.8,9.9,8.9,0,0.022,12.5,0,0.5,0.2,0,0,0.5,0.059,7.3,4.2,128.5,94
cornmeal white,581,2.7,0.3,0.5,1,124.7,2.5,11.2,6.1,0,0.094,17.6,0,0.2,0.016,0,0,0.2,0,4.7,1.7,151.1,95
barley flour,511,2.4,0.5,0.3,1.1,110.3,1.2,15.5,14.9,0,0.062,17.9,0,0.5,0.2,0,0,0.8,0.069,47.4,4,194.5,96
