food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B2,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Iron,Nutrition Density,
cranberry beans canned,216,0.7,0.2,0.083,0.3,39.3,0,14.4,16.4,0,0.9,201.7,0,0.1,0.1,2.1,0,0,0,88.4,4,165.3,
black beans cooked,227,0.9,0.2,0.02,0.4,40.8,0,15.2,15,0,0.008,113.1,0,0.4,0.1,0,0,1.5,0.081,46.4,3.6,121.9,
lima beans cooked,216,0.7,0.2,0.022,0.3,39.3,5.5,14.7,13.2,0,0.012,131.2,0,0,0,0.3,0,0,0.3,0.052,0.4,68.6,
mungo beans raw,706,3.4,0.2,0.2,2.2,122.1,0,52.2,37.9,0,0.004,22.4,0,0.6,0.5,0,0,0,0,285.7,15.7,517,
pigeon peas raw,703,3.1,0.7,0.065,1.7,128.7,0,44.5,30.8,0,0.04,21.7,0,1.3,0.4,0,0,0,0,266.5,10.7,484.3,
fava beans canned,182,0.6,0.092,0.1,0.2,31.8,0,14,9.5,0,1.2,205.6,0,0.016,0.1,4.6,0,0,0,66.6,2.6,129.7,
yellow snap beans raw,31,0.1,0.097,0.094,0.013,7.1,0,1.8,3.4,0,0.085,90.3,0,0.005,0.1,16.3,0,0,0,37,1,66.7,
snap beans raw,31,0.2,0.051,0.016,0.1,7,3.3,1.8,2.7,0,0.025,90.3,0,0.02,0.1,12.2,0,0.4,0.066,37,1,61.9,
yellow snap beans canned,36,0.2,0.076,0.064,0.1,8.4,0,1.9,3.6,0,0.6,227.2,0,0.097,0.1,8.2,0,0,0,57.6,2.2,82.1,
pigeon peas cooked,203,0.6,0.1,0.05,0.3,39.1,0,11.4,11.3,0,0.036,115.2,0,0.2,0.02,0,0,0,0,72.2,1.9,136.5,
catjang cowpeas raw,573,3.5,0.9,0.3,1.5,99.6,0,39.8,17.9,0,0.07,18.5,0,1.1,0.3,2.5,0,0,0,142,16.6,321.9,
navy beans cooked,255,1.1,0.2,0.3,0.9,47.4,0.7,15,19.1,0,0.4,116.1,0,0.4,0.1,0,0,0.08,0.002,125.6,4.3,212.5,
mothbeans raw,672,3.2,0.7,0.3,1.5,120.6,0,45,0,0,0.001,19,0,1.1,0.2,7.8,0,0,0,294,21.3,491.9,
cowpeas cooked,81,0.4,0.037,0.039,0.2,14.5,2.3,5.4,4.6,0,0.037,49,0,0,0,0.025,0.3,0,0.2,0.033,0.2,25.166,
mothbeans cooked,207,1,0.2,0.062,0.5,37.1,0,13.8,0,0,0.086,122.5,0,0.2,0.088,1.8,0,0,0,5.3,5.6,64.6,
french beans cooked,228,1.3,0.1,0.046,0.8,42.5,0,12.5,16.6,0,0.003,117.8,0,0,0,0.2,2.1,0,0,0,0.2,73.3,
lima beans raw,602,1.2,0.3,0.1,0.6,112.8,15.1,38.2,33.8,0,0.078,18.1,0,0.9,0.4,0,0,1.3,0.058,144.2,13.4,343.6,
winged beans raw,744,29.7,4.2,10.9,7.9,75.9,0,54,47.1,0,0.09,15.2,0,1.9,0.8,0,0,0,0,800.8,24.5,1032,
adzuki beans cooked,294,0.2,0.067,0.021,0.024,57,0,17.3,16.8,0,0.079,152.5,0,0,0,0.2,0,0,0,0,0.7,92.2,
black beans raw,662,2.8,0.7,0.2,1.2,121,4.1,41.9,30.1,0,0.065,21.4,0,1.7,0.4,0,0,0.4,0.026,238.6,9.7,444.1,
catjang cowpeas cooked,200,1.2,0.3,0.1,0.5,34.7,0,13.9,6.2,0,0.021,119.2,0,0,0,0.2,0.7,0,0,0,0.5,56.7,
baby lima beans cooked,189,0.5,0.1,0.06,0.3,35,2.5,12,10.8,0,0.064,130.2,0,0,0,0.2,10.4,0,1.2,0.06,0.4,58.952,
cowpeas raw,41,0.3,0.082,0.074,0.1,8.9,4.7,3.1,3.1,0,0.026,80.8,0,0.1,0.1,31,0,0.5,0.025,61.1,0.9,108.4,
shellie beans canned,74,0.5,0.034,0.07,0.3,15.2,1.5,4.3,8.3,0,0.8,222.2,0,0,0,0.1,7.6,0,0.048,0.051,0.2,28.668,
yardlong beans raw,579,2.2,0.6,0.2,0.9,103.4,0,40.6,18.4,0,0.057,14.1,0,1.5,0.4,2.7,0,0,0,230.5,14.4,412.2,
pinto beans canned,197,1.3,0.3,0.3,0.5,36.4,2.4,11,11,0,0.6,187.7,0,0.1,0.063,1.7,0,1.4,0.09,112.8,3.5,177.7,
chickpeas cooked,269,4.2,0.4,1,1.9,45,7.9,14.5,12.5,0,0.08,98.7,0,0.2,0.1,2.1,0,0.6,0.024,80.4,4.7,163.4,
cranberry beans raw,653,2.4,0.6,0.2,1,117.1,0,44.9,48.2,0,0.014,24.2,0,1.5,0.4,0,0,0,0,247.7,9.8,470.1,
mungo beans cooked,189,1,0.065,0.001,0.6,33,3.6,13.6,11.5,0,0.083,130.5,0,0.3,0.1,1.8,0,0.3,0.092,95.4,3.2,159.5,
tamarinds,5,0.013,0.023,0.038,0.036,1.3,0.8,0.057,0.1,0,0.007,0.6,0,0,0,0.058,0.09,0,0.053,0.03,0.032,1.708,
yellow snap beans cooked,44,0.4,0.037,0.065,0.2,9.9,4.5,2.4,4.1,0,0.096,111.5,0,0,0,0.062,12.1,0,0.6,0.025,0.1,17.003,
yardlong beans cooked,202,0.8,0.2,0.027,0.3,36.1,0,14.2,6.5,0,0.059,117.6,0,0,0,0.2,0.7,0,0,0,0.4,58.2,
bacon beef steak,146,12.5,4.5,6.2,1.2,0.2,0.2,8.2,0,28.9,0.4,6.1,0,0.2,0.09,0,0,0,0.091,4,0.5,25.4,
lamb foreshank raw,912,60.7,26.4,24.9,4.8,0,0,85.8,0,326.6,0.3,304,0,0.5,0.9,0,0,1.1,0,49.9,7.6,204,
bacon,106,10.2,0,0,0,0.2,0.2,3.3,0,0,0.1,11.7,0,0,0,0,0,0.1,0,1,0.1,14.8,
lamb rib cooked,915,76,32.6,31.9,5.5,0,0,53.9,0,247.4,0.2,122.1,0,0.2,0.5,0,0,0.3,0,56.1,4.1,190.1,
lamb shank raw,912,61.2,26.3,25.1,4.9,0,0,84.3,0,303.9,0.3,304.7,0,0.6,1,0,0,1,0,36.3,7.8,189.6,
scrapple,60,3.9,1.3,1.7,0.5,4,0.063,2.3,0.052,13.9,0.1,17.7,0.2,0.091,0.049,0.7,0.075,0.039,0.057,2,0.5,13.63,
chicken nuggets,61,4.1,0.7,1.5,1.3,3,0.039,3.2,0.2,8.6,0.1,9.3,0.015,0.011,0.049,0.095,0.1,0.01,0.2,0.058,0.091,10.792,
ground lamb cooked,886,61.5,25.4,26,4.4,0,0,77.5,0,303.6,0.3,172.4,0,0.3,0.8,0,0.079,0.4,0.003,68.9,5.6,213.5,
lamb meat cooked,678,45,18.6,19.1,3.2,0,0,63.8,0,240,0.2,139.6,0,0.3,0.7,0,0,0,0,40,4.8,153.6,
meat extender,275,2.6,0.4,0.6,1.5,33.7,0,33.5,15.4,0,0.041,6.6,0,0.6,0.8,0,0,0,0,179.5,10.6,275.3,
lamb leg raw,1043,77.4,33.7,31.8,6.1,0,0,81.2,0,313,0.3,291.8,0,0.6,1,0,0,1,0,40.8,7.5,206.9,
lamb loin cooked,202,14.8,6.3,6.2,1.1,0,0,16.1,0,64,0.089,33,0,0.034,0.2,0,0.024,0.087,0.062,12.8,1.2,44.9,
chicken patty,172,11.7,2.2,5,2.9,7.7,0,8.9,0.2,25.8,0.3,30.5,0,0.067,0.042,0,0,0.8,0.082,11.4,0.6,40.5,
lamb shank roasted,605,33.5,13.7,14.2,2.4,0,0,71,0,242.1,0.2,163.2,0,0.3,0.7,0,0,0.4,0,26.9,5.3,136.7,
barbecue loaf,40,2,0.7,1,0.2,1.5,0,3.6,0,8.5,0.3,14.9,0,0.042,0.086,0,0.099,0,0,12.7,0.3,20.1,
lamb sirloin cooked,765,54.2,22.9,22.8,3.9,0,0,64.5,0,254.1,0.2,141.8,0,0.3,0.7,0,0,0.3,0,28.8,5.2,152.7,
poultry salad,26,1.8,0.4,0.4,0.8,1,0,1.5,0,3.9,0.079,8.6,0.084,0.066,0.081,0.1,0.063,0.3,0,1.3,0.097,5.781,
ground lamb raw,80,6.6,2.9,2.7,0.5,0,0,4.7,0,20.7,0.05,16.8,0,0.021,0.055,0,0.028,0.044,0.06,4.5,0.4,16.2,
lamb loin raw,88,7.5,3.3,3.1,0.6,0,0,4.6,0,20.9,0.003,16,0,0.088,0.061,0,0,0.042,0,4.2,0.5,16.8,
lamb sirloin raw,1234,100.3,44.1,41.2,7.8,0,0,76.8,0,326.6,0.3,273.5,0,0.5,1,0,0,1,0,45.4,7.3,229.8,
sausage patty mcdonalds,115,11.2,3.6,4.7,1.4,0.4,0.1,4.3,0,20.9,0.2,11.7,0,0.008,0.01,0,0,0,0,6.5,0.3,22.7,
lamb foreshank cooked,360,19.9,8.3,8.4,1.4,0,0,42,0,156.9,0.1,84.1,0,0.087,0.3,0,0.002,0.3,0.091,29.6,3.2,94.7,
ham salad,97,7,2.3,3.2,1.2,4.8,0,3.9,0,16.7,0.5,28.2,0,0.2,0.006,0,0.012,0.8,0,3.6,0.3,19.6,
lamb rib raw,1687,156,68.8,64.1,12.2,0,0,65.9,0,344.7,0.3,230.4,0,0.5,0.9,0,0,0.8,0,68,6.3,296.2,
lamb shoulder raw,1198,97.3,42.1,39.9,7.8,0,0,75.2,0,326.6,0.3,278.5,0,0.5,1,0,0.015,1,0.041,72.6,6.8,251.9,
lamb meat raw,1102,84.6,36.6,34.7,6.7,0,0,79.6,0,317.5,0.3,286.5,0,0.5,1,0,0,0,0,54.4,7.3,225.9,
lamb shoulder cooked,750,53.5,22.5,21.9,4.4,0,0,62.5,0,252.9,0.2,98.5,0,0.2,0.5,0,0,0.3,0,54.5,5.2,175.7,
mutton cooked,66,3.1,1.5,1.3,0.2,0.027,0,9.5,0,30.8,0.07,15.3,0,0.036,0.027,0,0,0.2,0,2.8,1.3,16.744,
lamb leg cooked,684,43.7,18.3,18.4,3.1,0,0,67.7,0,246.5,0.2,152.3,0,0.3,0.7,0,0.099,0.4,0.025,29.2,5.2,145.8,
beef stick,110,9.9,4.2,4.1,0.9,1.1,0,4.3,0,26.6,0.3,3.8,0,0.071,0.063,1.4,0,0,0,13.6,0.7,31,
veal sirloin cooked,517,26.9,10.6,10.6,1.8,0,0,64.1,0,221.4,0.2,111.7,0,0.1,0.7,0,0,0.8,0,34.9,2.5,128.4,
veal rib cooked,444,22.2,8.8,8.2,1.7,0,0,57.4,0,246,0.2,94.4,0,0.033,0.5,0,0,0.6,0.092,38.9,2.5,121,
veal meat cooked,483,23.8,8.9,9.2,1.7,0,0,62.9,0,238.3,0.2,119.3,0,0.1,0.7,0,0,0.8,0.069,46,2.4,135.1,
beef rib roasted,238,19.1,7.7,8.2,0.7,0,0,15.4,0,57,0.01,32,0,0.049,0.1,0,0.037,0.2,0.015,6.7,1.6,42.8,
veal sirloin raw,689,35.4,15.2,13.8,2.3,0,0,86.5,0,353.8,0.3,325.9,0,0.4,1.4,0,0,1.1,0.093,49.9,3.5,175.3,
beef top loin filet grilled,323,19,6.5,8.6,0.6,0.8,0,37,0,116.1,0.1,76.7,0.9,0.063,0.016,0.6,0,0.03,0,0.019,0.2,58.507,
beef under blade steak cooked,983,46.7,17.9,22.6,2.3,0,0,140.8,0,480.4,0.3,260.9,1.9,0.002,0.068,1.5,0,0.022,0.4,0.044,0.5,191.483,
mock tender steak raw,244,8.3,3.6,4.3,0.7,0,0,42.2,0,132.7,0.2,145.9,0.069,0.2,0.4,0,0.055,0.4,0.099,21.8,4.8,77.128,
ground beef cooked,375,24.8,10,12,0.7,0,0,35.5,0,122.3,0.1,77.5,1.6,0,0.06,0.6,0,0,0.7,0.052,0.1,62.697,
ground beef raw,1506,136.1,51.2,59.7,3.2,0,0,65.1,0,353.8,0.3,246.7,0,0.2,0.6,0,0,2.2,0.004,108.9,7.4,317.5,
beef diced asda,48,0.7,0.3,0,0,10.5,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2,
veal rib raw,735,40.9,16.8,15.6,2.9,0,0,85.5,0,372,0.4,322.7,0,0.3,1,0,0,1,0,59,3.9,189.3,
ground veal raw,41,1.9,0.8,0.7,0.1,0,0,5.5,0,23.2,0.029,20.6,0,0.093,0.095,0,0,0.086,0,4.2,0.2,11.8,
t bone steak cooked,1049,74.1,30.3,33.3,3.3,0,0,89.3,0,301.3,0.2,197.8,4.6,0,0.046,2.4,0,0.095,0,0,0.2,170.6,
veal leg round raw,531,14,5.4,5.1,1.1,0,0,95.2,0,353.8,0.3,339.3,0,0.4,1.2,0,0,1.4,0.03,22.7,3.6,135.5,
beef top sirloin steak raw,1222,77.3,31.2,33.1,2.9,0,0,123.4,0,456,0.3,401.8,0,0.4,0.6,0,0,2.2,0.066,145.9,9,355.6,
beef plate steak grilled,508,35.6,12.9,14.3,2,0,0,47.1,0,177.5,0.1,89.5,1.7,0.021,0.054,0.8,0,0.011,0.2,0.047,0.4,85.652,
ground veal cooked,514,22.6,9.1,8.5,1.6,0,0,72.9,0,308,0.2,199.6,0,0.2,0.8,0,0,0.4,0.006,50.8,3,149.3,
veal leg round cooked,574,17.2,6.9,6.4,1.3,0,0,98.4,0,364.5,0.2,150.9,0,0.2,1,0,0,1.3,0.096,21.8,3.6,141,
porterhouse steak raw,1170,91.1,36.4,40.6,3.4,0,0,81.6,0,308.4,0.2,273.1,0,0.5,0.8,0,0,0,0,27.2,8.8,208.7,
veal shank raw,513,15.8,4.8,5.7,1.6,0,0,86.9,0,340.2,0.4,348.9,0,0.4,1.2,0,0,0,0,90.7,3.4,196.8,
veal breast cooked,753,47.5,18.5,22.7,3.2,0,0,76.3,0,319.8,0.2,158.3,0,0.2,0.8,0,0,0,0,25.5,2.2,151.5,
corned beef canned,53,3.1,1.3,1.3,0.1,0,0,5.7,0,18.1,0.2,12.1,0,0.076,0.049,0,0.016,0.02,0.041,2.5,0.4,11.7,
rib eye steak grilled,680,47.7,21.2,23,2.2,0,0,62.4,0,195.8,0.1,139.5,0.047,0.2,0.8,0,0.032,0,0.065,30.1,6,146.262,
veal shoulder raw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
t bone steak raw,1052,76.3,30.4,33.9,2.8,0,0,85.7,0,281.2,0.2,282.5,0,0.5,0.8,0,0,0,0,27.2,9.5,198.7,
sirloin steak,324,14.1,5.2,6.1,1.1,0,0,49.5,0,144.4,0.6,99.9,0.6,0,0.051,1.1,0,0,0.9,0,0.2,65.5,
mock tender steak cooked,137,4.9,1.5,2.3,0.3,0,0,21.9,0,55.3,0.028,55.7,0,0.09,0.2,0,0,0.1,0,6.8,2.6,36.2,
beef round steak cooked,385,12.1,4.3,5.1,0.5,0,0,64.8,0,174.3,0.011,126.8,0,0.1,0.3,0,0,0.8,0.064,14.4,5.2,96.5,
chuck blade roast raw,1125,88,35.5,38.6,3.2,0,0,77.8,0,322.1,0.3,277.7,0,0.5,0.8,0,0,0,0,45.4,9.3,220.5,
beef shoulder steak raw,349,17.3,7.5,9,1.8,0,0,48.2,0,164.9,0.2,171.8,0.014,0.2,0.6,0,0.017,0.4,0.06,28.7,6,100.218,
beef top blade cooked,184,10,3.3,4.6,0.4,0,0,21.9,0,51.9,0.002,52.3,0,0.1,0.2,0,0,0.1,0,6,2.3,40.2,
corned beef cooked,53,4,1.3,1.9,0.1,0.006,0,3.8,0,20.6,0.2,12.6,0,0.048,0.027,0,0.015,0.022,0.096,1.7,0.4,9.905,
beef round steak raw,753,36,14.2,15.5,1.4,0,0,100.1,0,313,0.3,313.2,0,0.4,0.6,0,0,1.5,0.079,95.3,8.4,239.8,
beef shoulder steak grilled,155,5.8,2.5,3,0.6,0,0,24,0,68.9,0.014,54.4,0.063,0.083,0.2,0,0.012,0.072,0.067,10.2,2.5,42.589,
chuck eye steak raw,856,62.8,26.7,29.7,4.5,0,0,72.4,0,261.1,0.3,247.6,0.095,0.3,0.6,0,0.047,0.6,0.077,53.8,8.1,197.159,
beef bottom round steak cooked,980,35.1,12.1,14.7,1.5,0,0,155.8,0,426.4,0.2,261,0,0.4,0.9,0,0.075,2,0.091,31.8,13,235.7,
porterhouse steak cooked,235,16.4,6.2,7.4,0.6,0,0,20.4,0,57,0.085,46.5,0,0.099,0.2,0,0,0.2,0,6,2.5,45.3,
beef under blade steak raw,1235,80.8,32.6,37.4,5.9,0,0,126.8,0,431,0.3,241.6,0.057,0.3,1,0,0.093,0.4,0.076,62.9,12.6,283.198,
beef plate steak raw,617,46.8,19,20.6,2.3,0.9,0,47.8,0,188.9,0.2,168,0.071,0.3,1.5,0,0.008,0.4,0.016,16,9.1,120.656,
beef meat canned,111,7.9,3.9,3.6,0.4,0,0,9.2,0,34.7,0.095,27.5,0,0.037,0.082,0,0,0.9,0.018,4.5,1,22.6,
beef breakfast strips raw,92,8.8,3.6,4.2,0.5,0.2,0,2.8,0,18.5,0.2,10.2,0,0.068,0.074,5.4,0,0,0,0.9,0.3,18.4,
beef brisket cooked,589,43.6,16.8,19.4,1.5,0,0,46,0,165.5,0.1,88.3,0,0.1,0.4,0,0.041,0.3,0.082,12.5,4.4,106.5,
corned beef raw,898,67.6,21.5,32.6,2.4,0.6,0,66.6,0,244.9,5.5,301.9,0,0.2,0.7,122.5,0,0,0,31.8,7.7,296.8,
beef mince meat asda,55,3.1,1.3,0,0,6.8,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,
pastrami beef fat free,9,0.1,0,0.036,0.099,0.1,0,1.9,0,4.5,0.005,7.1,0,0.04,0.043,3.3,0,0,0,0.9,0.3,6.6,
rib eye steak raw,743,54.5,24,25.7,2.6,0.4,0,62.8,0,221.7,0.2,205.4,0.087,0.3,0.8,0,0.088,0,0.076,26.1,5.9,149.722,
beef tenderloin steak cooked,374,24,9.4,10,0.9,0,0,37,0,135.8,0.061,78.5,0,0.1,0.2,0,0.028,0.7,0.028,26.6,2.4,90,
chuck blade roast cooked,842,62,24.7,26.8,2.2,0,0,66.1,0,256.9,0.2,117.7,0,0.2,0.6,0,0.003,0.5,0.006,32.1,7.7,167.9,
cured beef dried,4,0.019,0.086,0.088,0.007,0.06,0.006,0.9,0,2.2,0.049,1.5,0,0.017,0.002,0,0,0.026,0.087,0.2,0.004,1.333,
beef flank steak cooked,380,17.5,7.2,7.1,0.7,0,0,51.8,0,152.3,0.068,119.1,0,0.1,0.2,0,0,0.7,0.069,33.8,3.4,106.5,
chuck eye steak grilled,853,60.5,26.7,29.1,4.4,0,0,76.9,0,268,0.2,170.1,4,0.012,0.085,1.1,0,0.093,0.3,0.02,0.2,142.79,
veal meat raw,653,30.7,12.7,11.7,2.2,0,0,87.8,0,372,0.4,330.4,0,0.4,1.2,0,0,1.2,0,68,3.8,190.3,
veal loin cooked,80,4.9,1.9,1.9,0.3,0,0,8.5,0,33.4,0.001,14.7,0,0.011,0.053,0,0,0.1,0.049,7.9,0.3,21.6,
veal loin raw,46,2.6,1.1,1,0.2,0,0,5.3,0,22.4,0.079,19.9,0,0.025,0.091,0,0,0.02,0.094,4.5,0.2,12.6,
veal shoulder cooked,435,19.4,7.2,7.4,1.4,0,0,61.2,0,240.7,0.2,107.7,0,0.1,0.6,0,0,0.8,0.06,66.9,2.7,150.2,
beef tenderloin steak raw,405,29.8,12,12.7,1.1,0,0,32.2,0,139.4,0.032,100.9,0,0.1,0.2,0,0,0.7,0.056,37.7,2.3,102,
veal shank cooked,371,12,4,4.5,1,0,0,61.2,0,240.6,0.2,119.8,0,0.062,0.6,0,0,0,0,64,2.4,139.6,
beef brisket raw,1139,86.5,34.2,38.6,3,0,0,83.6,0,308.4,0.3,277.1,0,0.4,0.7,0,0,0,0,27.2,7.7,205,
pastrami beef,104,4.1,1.9,1.5,0.1,0.3,0.08,15.5,0,48.3,0.8,49.4,0,0.084,0.1,0.2,0.09,0.085,0.038,7.1,1.6,28.8,
beef flank steak raw,47,2.3,1,1,0.038,0,0,6,0,19.2,0.054,19.7,0,0.082,0.07,0,0.097,0.034,0.072,7.6,0.4,16.3,
beef top sirloin steak cooked,430,25.2,9.9,10.5,1,0,0,47.7,0,162.8,0.055,103.3,0,0.1,0.2,0,0.009,0.8,0.069,35.4,3.1,111.4,
veal breast raw,943,66.9,26.7,32.5,4.3,0,0,79.2,0,322.1,0.3,307,0,0,0,0,0,0,0,31.8,2.4,180.3,
beef rib raw,1433,123.8,51.2,53,4.5,0,0,73.8,0,322.1,0.2,247.3,0,0.4,0.6,0,0,0,0,36.3,7.8,241.7,
beef jerky,82,5.1,2.2,2.3,0.2,2.2,1.8,6.6,0.4,9.6,0.4,4.7,0,0.059,0.084,0,0.022,0.018,0.081,4,1.1,19.4,
beef breakfast strips cooked,51,3.9,1.6,1.9,0.2,0.2,0,3.5,0,13.4,0.3,3,0,0.077,0.034,0,0.025,0.05,0.016,1,0.4,9,
pork olive loaf,66,4.6,1.6,2.2,0.5,2.6,0,3.3,0,10.6,0.3,16.3,0.019,0.097,0.071,0,0.024,0.031,0.065,30.5,0.2,41.265,
beef luncheon meat jellied,31,0.9,0.4,0.4,0.034,0,0,5.3,0,9.5,0.4,20.9,0,0.01,0.094,0,0,0,0,2.8,1,10,
turkey pastrami,38,1.8,0.5,0.6,0.5,0.5,1,4.6,0.062,19.4,0.3,20.4,0.057,0.044,0.071,2.3,0.003,0.058,0,3.1,1.2,13.579,
pork salami,41,3.4,1.2,1.6,0.4,0.2,0,2.3,0,7.9,0.2,3.6,0,0.056,0.072,0,0,0,0,1.3,0.1,7.3,
canadian style bacon raw,45,2,0.6,0.9,0.2,0.5,0,5.9,0,14.3,0.3,19.1,0,0.2,0.093,0,0.004,0.035,0,2.3,0.2,10.9,
honey loaf,85,3.6,1.3,1.7,0.3,2.6,2.6,9.9,0,26.2,0.4,38.4,0,0.2,0.2,0,0.021,0.1,0.048,30.8,0.6,47.5,
pork beef salami,37,3.1,1.1,1.4,0.5,0.076,0.008,2.1,0,10.6,0.2,4,0.093,0.086,0.042,0.032,0,0.059,0.088,0,0.042,5.334,
beef pork bologna,92,7.4,2.8,3.2,0.3,1.6,1.3,4.6,0,18,0.3,15.6,0.078,0.058,0.031,0.2,0.045,0,0.002,25.5,0.4,39.702,
pork beef salami cooked,41,3.2,1.1,1.4,0.3,0.3,0.1,2.7,0,10.9,0.2,5.6,0,0.079,0.007,0,0.09,0.075,0.048,1.8,0.2,8.2,
pork breakfast strips raw,88,8.4,2.9,3.8,1.3,0.2,0,2.7,0,15.6,0.2,10.7,0,0.1,0.049,6.1,0,0,0,1.8,0.2,19.4,
pickle pimiento loaf,86,6.1,2,2.7,1.1,3.2,3.2,4.3,0.6,22,0.4,22.9,0.007,0.1,0.065,3,0.079,0.2,0.036,41.4,0.5,59.105,
luxury loaf,39,1.3,0.4,0.7,0.1,1.4,0,5.2,0,10.1,0.3,19.1,0,0.2,0.033,0,0.08,0,0,10.1,0.3,18.3,
mortadella,47,3.8,1.4,1.7,0.5,0.5,0,2.5,0,8.4,0.2,7.8,0,0.07,0.089,0,0.021,0.067,0.018,2.7,0.2,9.7,
pork bologna,69,5.6,1.9,2.7,0.6,0.2,0,4.3,0,16.5,0.3,17,0,0.1,0.077,0,0.032,0.035,0.04,3.1,0.2,13.4,
turkey salami cooked,9,0.5,0.1,0.2,0.1,0.081,0.063,1,0.054,3.8,0.023,3.4,0.085,0.068,0.075,0,0.057,0.017,0.094,2,0.026,3.796,
pepperoni beef,10,0.9,0.3,0.3,0.053,0,0,0.5,0,2.1,0.09,0.6,0,0.088,0.014,0.097,0.04,0,0.043,0.4,0.035,1.902,
peppered loaf,42,1.8,0.6,0.9,0.1,1.3,1.3,4.9,0,13.1,0.2,19.2,0,0.1,0.005,0,0.079,0.084,0.032,15.4,0.3,23.7,
luncheon meat beef,10,0.3,0.1,0.1,0.013,0,0,1.8,0,3.2,0.1,6.9,0,0.057,0.067,0,0.026,0.059,0.076,0.9,0.3,3.3,
lebanon bologna,98,6,1.6,2.5,0.1,0.3,0,10.8,0,31.4,0.8,37.5,0.052,0.066,0.051,0.5,0.065,0.3,0.073,11.4,1.2,30.243,
chicken pork bologna,94,8.6,2.8,3.7,1.2,1.2,0,2.9,0,24.4,0.3,14.2,0.01,0.094,0.041,3.7,0,0.2,0.048,54.9,0.3,71.678,
turkey roll,40,1.9,0.6,0.6,0.5,0.6,0,4.9,0,14.9,0.1,18.9,0,0.038,0.013,0,0.075,0.009,0,8.6,0.4,16.4,
beef salami cooked,68,5.8,2.6,2.8,0.3,0.5,0.4,3.3,0,18.5,0.3,15.6,0,0.046,0.099,0,0.044,0.093,0.082,1.6,0.6,11.8,
yachtwurst cooked,150,12.7,4.4,0,0,0.8,0,8.3,0,35.8,0.5,32.6,0,0,0,0,0,0,0,10.6,0.6,33,
italian salami,43,3.7,1.3,1.8,0.4,0.1,0.1,2.2,0,8,0.2,3.5,0,0.025,0.009,0,0,0,0,1,0.2,7.2,
turkey ham,38,1.6,0.1,0.2,0.3,0.3,0.1,5.5,0,18.8,0.3,20.2,0,0.094,0.011,0,0,0.1,0,1.4,0.4,9.2,
turkey bologna,59,4.5,1.2,1.9,1.1,1.3,0.8,3.2,0.1,21,0.3,18.1,0.025,0.046,0.085,3.7,0.032,0.1,0.037,34.4,0.8,48.096,
sliced turkey breast,17,0.6,0.1,0.2,0.2,0.4,0.1,2.4,0,7.8,0.1,12.2,0.038,0,0.076,0.006,0,0.049,0.007,0,0.023,3.572,
luncheon meat pork beef,99,9,3.2,4.2,1,0.7,0,3.5,0,15.4,0.4,13.8,0,0.072,0.074,0,0.094,0.038,0.058,2.5,0.2,15.9,
beef bologna,90,7.8,3.1,3.7,0.4,1.3,0.6,3.3,0,17.1,0.3,16.6,0.4,0.043,0.031,0.085,4.6,0.083,0.2,0.053,0.01,12.962,
turkey bacon cooked,313,22.9,6.8,8.9,5.6,2.5,0,24.3,0,80.4,1.9,26.7,0,0.04,0.2,0,0.076,0.8,0.028,7.4,1.7,58.8,
ground emu cooked,178,5.1,1.4,2.1,0.7,0,0,31,0,94.8,0.025,71.8,0.2,0,0.014,0.9,0,0,0.3,0.044,0.3,37.595,
ostrich leg raw,94,1.5,0.5,0.5,0.3,0,0,19,0,56.1,0.067,64.6,0,0.2,0.3,0,0,0.2,0,4.3,2,26.8,
ostrich strip raw,108,2.4,0.8,1,0.5,0,0,20.1,0,62.1,0.086,63,0,0.2,0.3,0,0,0.2,0,4.3,3.6,30.4,
emu fillet cooked,607,9.1,2.3,3.6,1.3,0,0,123.2,0,323.1,0.2,261.7,0,1.4,2.4,0,0,0.9,0,23.6,18,173.9,
ostrich tenderloin raw,105,2.7,1,1,0.6,0,0,18.8,0,68,0.005,63.3,0,0.2,0.2,0,0,0.2,0,5.1,4.1,30.7,
emu drums cooked,649,8.4,2.7,3.6,1.7,0,0,134.7,0,378.6,0.5,267.5,0.084,1.7,2.6,0,0,1,0,25,30.2,198.375,
green turtle raw,25,0.1,0.015,0.093,0.074,0,0,5.6,0,14.2,0.099,22.2,0.089,0.024,0.084,0,0,0.1,0.081,33.4,0.4,39.567,
ground bison cooked,448,21.6,8.7,8.2,1,0,0,63.6,0,177.5,0.2,162.7,0,0.3,0.7,0,0,0.5,0.011,35,8,128.2,
goat meat raw,494,10.5,3.2,4.7,0.8,0,0,93.4,0,258.6,0.4,344,0,0.5,2.2,0,0,0,0,59,12.8,175.7,
ground emu raw,157,4.7,1.2,1.9,0.7,0,0,26.6,0,80.7,0.062,85.3,0,0.3,0.5,0,0,0.3,0,8.2,4.7,44.2,
